args_n args_k args_L args_iterations args_curve  net_file_size_bytes  runtime_setup_seconds runtime_file_generation_seconds  runtime_all_column_commitments_seconds runtime_per_column_commitment_seconds runtime_all_row_encodings_seconds runtime_per_row_encoding_seconds runtime_all_chunk_verifications_seconds runtime_per_chunk_verification_seconds  runtime_all_downloaded_chunk_verifications_seconds runtime_per_downloaded_chunk_verification_seconds runtime_all_row_decodings_seconds runtime_per_row_decoding_seconds runtime_prepare_decoding_seconds  num_column_commitments num_row_encodings num_chunk_verifications num_downloaded_chunk_verifications num_row_decodings  size_file_uncoded_bytes size_column_commitments_bytes size_file_coded_bytes  scenario_disperse_runtime_client_seconds scenario_disperse_runtime_node_seconds scenario_disperse_communication_bytes scenario_disperse_storage_bytes  scenario_retrieve_runtime_client_seconds  scenario_sampling_num_openings scenario_sampling_runtime_prover_seconds scenario_sampling_runtime_verifier_seconds scenario_sampling_runtime_proof_size_bytes   ### columns
128 32 512 1 bls12-381  520192  0.125784 0.001895  1.784093 0.055753 0.081369 0.000159 9.291729 0.072592  2.320940 0.072529 0.042687 0.000083 0.020909  32 512 128 32 512  524288 3328 2097152  1.865462 0.072592 2523136 2523136  2.384537  32 0.057905 0.008873 3480
256 64 512 1 bls12-381  1040384  0.128629 0.004061  3.997923 0.062468 0.137696 0.000269 22.444275 0.087673  5.525721 0.086339 0.169795 0.000332 0.101420  64 512 256 64 512  1048576 6656 4194304  4.135619 0.087673 5898240 5898240  5.796936  64 0.060772 0.010748 6808
512 128 512 1 bls12-381  2080768  0.127461 0.005763  7.148627 0.055849 0.276382 0.000540 59.187066 0.115600  14.810149 0.115704 0.716149 0.001399 0.551662  128 512 512 128 512  2097152 13312 8388608  7.425009 0.115600 15204352 15204352  16.077959  128 0.057913 0.008962 13464
1024 256 512 1 bls12-381  4161536  0.125851 0.011508  16.191120 0.063247 0.508655 0.000993 187.187209 0.182800  46.693054 0.182395 2.950962 0.005764 3.395255  256 512 1024 256 512  4194304 26624 16777216  16.699776 0.182800 44040192 44040192  53.039271  256 0.060693 0.010620 26776
128 32 1024 1 bls12-381  1040384  0.201429 0.003440  2.721835 0.085057 0.165524 0.000162 12.931872 0.101030  3.243319 0.101354 0.084906 0.000083 0.020725  32 1024 128 32 1024  1048576 3328 4194304  2.887359 0.101030 4620288 4620288  3.348950  32 0.086469 0.009155 3480
256 64 1024 1 bls12-381  2080768  0.201523 0.007154  5.427760 0.084809 0.285992 0.000279 28.851721 0.112702  7.210903 0.112670 0.340275 0.000332 0.101372  64 1024 256 64 1024  2097152 6656 8388608  5.713752 0.112702 10092544 10092544  7.652550  64 0.086753 0.009108 6808
512 128 1024 1 bls12-381  4161536  0.205257 0.014000  11.572258 0.090408 0.488984 0.000478 76.491755 0.149398  19.091119 0.149149 1.432417 0.001399 0.552516  128 1024 512 128 1024  4194304 13312 16777216  12.061242 0.149398 23592960 23592960  21.076053  128 0.090655 0.010725 13464
1024 256 1024 1 bls12-381  8323072  0.201342 0.025063  21.752515 0.084971 1.047545 0.001023 213.867922 0.208855  53.518835 0.209058 5.938332 0.005799 3.403538  256 1024 1024 256 1024  8388608 26624 33554432  22.800061 0.208855 60817408 60817408  62.860705  256 0.086702 0.009303 26776
128 32 2048 1 bls12-381  2080768  0.331677 0.007005  4.820472 0.150640 0.319196 0.000156 21.253989 0.166047  5.350850 0.167214 0.169906 0.000083 0.020949  32 2048 128 32 2048  2097152 3328 8388608  5.139668 0.166047 8814592 8814592  5.541705  32 0.151512 0.009596 3480
256 64 2048 1 bls12-381  4161536  0.334161 0.014873  9.749654 0.152338 0.540325 0.000264 47.974902 0.187402  11.923022 0.186297 0.680292 0.000332 0.101185  64 2048 256 64 2048  4194304 6656 16777216  10.289979 0.187402 18481152 18481152  12.704499  64 0.157480 0.010777 6808
512 128 2048 1 bls12-381  8323072  0.331081 0.026531  19.332640 0.151036 1.023168 0.000500 108.015600 0.210968  26.953313 0.210573 2.859585 0.001396 0.551488  128 2048 512 128 2048  8388608 13312 33554432  20.355809 0.210968 40370176 40370176  30.364386  128 0.151777 0.009376 13464
